provincia,provincia_poblacion,canton,canton_poblacion,total,nuevas,lat,lng,created_at
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,22/03/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,23/03/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,24/03/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,25/03/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,26/03/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,27/03/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,28/03/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,29/03/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,30/03/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,31/03/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,01/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,02/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,03/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,04/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,05/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,06/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,07/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,08/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,09/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,10/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,11/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,12/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,13/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,14/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,15/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,16/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,17/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,18/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,19/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,20/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,21/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,22/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,23/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,24/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,25/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,26/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,27/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,28/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,29/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,30/04/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,01/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,02/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,03/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,04/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,05/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,06/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,07/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,08/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,09/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,10/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,11/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,12/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,13/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,14/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,15/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,16/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,17/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,18/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,19/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,20/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,21/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,22/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,23/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,24/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,25/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,26/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,27/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,28/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,29/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,30/05/2020
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,31/05/2020
Loja,521154,Puyango,15925,1,1,-3.870000000000000,-80.09000000000000,01/06/2020
Loja,521154,Puyango,15925,1,0,-3.870000000000000,-80.09000000000000,02/06/2020
Loja,521154,Puyango,15925,1,0,-3.870000000000000,-80.09000000000000,03/06/2020
Loja,521154,Puyango,15925,1,0,-3.870000000000000,-80.09000000000000,04/06/2020
Loja,521154,Puyango,15925,1,0,-3.870000000000000,-80.09000000000000,05/06/2020
Loja,521154,Puyango,15925,1,0,-3.870000000000000,-80.09000000000000,06/06/2020
Loja,521154,Puyango,15925,1,0,-3.870000000000000,-80.09000000000000,07/06/2020
Loja,521154,Puyango,15925,1,0,-3.870000000000000,-80.09000000000000,08/06/2020
Loja,521154,Puyango,15925,1,0,-3.870000000000000,-80.09000000000000,09/06/2020
Loja,521154,Puyango,15925,1,0,-3.870000000000000,-80.09000000000000,10/06/2020
Loja,521154,Puyango,15925,1,0,-3.870000000000000,-80.09000000000000,11/06/2020
Loja,521154,Puyango,15925,1,0,-3.870000000000000,-80.09000000000000,12/06/2020
Loja,521154,Puyango,15925,1,0,-3.870000000000000,-80.09000000000000,13/06/2020
Loja,521154,Puyango,15925,2,1,-3.870000000000000,-80.09000000000000,14/06/2020
Loja,521154,Puyango,15925,3,1,-3.870000000000000,-80.09000000000000,15/06/2020
Loja,521154,Puyango,15925,3,0,-3.870000000000000,-80.09000000000000,16/06/2020
Loja,521154,Puyango,15925,5,2,-3.870000000000000,-80.09000000000000,17/06/2020
Loja,521154,Puyango,15925,5,0,-3.870000000000000,-80.09000000000000,18/06/2020
Loja,521154,Puyango,15925,7,2,-3.870000000000000,-80.09000000000000,19/06/2020
Loja,521154,Puyango,15925,7,0,-3.870000000000000,-80.09000000000000,20/06/2020
Loja,521154,Puyango,15925,7,0,-3.870000000000000,-80.09000000000000,21/06/2020
Loja,521154,Puyango,15925,7,0,-3.870000000000000,-80.09000000000000,22/06/2020
Loja,521154,Puyango,15925,8,1,-3.870000000000000,-80.09000000000000,23/06/2020
Loja,521154,Puyango,15925,10,2,-3.870000000000000,-80.09000000000000,24/06/2020
Loja,521154,Puyango,15925,10,0,-3.870000000000000,-80.09000000000000,25/06/2020
Loja,521154,Puyango,15925,10,0,-3.870000000000000,-80.09000000000000,26/06/2020
Loja,521154,Puyango,15925,10,0,-3.870000000000000,-80.09000000000000,27/06/2020
Loja,521154,Puyango,15925,11,1,-3.870000000000000,-80.09000000000000,28/06/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,29/06/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,30/06/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,01/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,02/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,03/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,04/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,05/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,06/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,07/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,08/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,09/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,10/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,11/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,12/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,13/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,14/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,15/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,16/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,17/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,18/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,19/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,20/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,21/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,22/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,23/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,24/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,25/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,26/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,27/07/2020
Loja,521154,Puyango,15925,11,0,-3.870000000000000,-80.09000000000000,28/07/2020
Loja,521154,Puyango,15925,12,1,-3.870000000000000,-80.09000000000000,29/07/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,30/07/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,31/07/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,01/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,02/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,03/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,04/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,05/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,06/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,07/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,08/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,09/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,10/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,11/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,12/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,13/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,14/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,15/08/2020
Loja,521154,Puyango,15925,12,0,-3.870000000000000,-80.09000000000000,16/08/2020
Loja,521154,Puyango,15925,13,1,-3.870000000000000,-80.09000000000000,17/08/2020
Loja,521154,Puyango,15925,14,1,-3.870000000000000,-80.09000000000000,18/08/2020
Loja,521154,Puyango,15925,14,0,-3.870000000000000,-80.09000000000000,19/08/2020
Loja,521154,Puyango,15925,15,1,-3.870000000000000,-80.09000000000000,20/08/2020
Loja,521154,Puyango,15925,15,0,-3.870000000000000,-80.09000000000000,21/08/2020
Loja,521154,Puyango,15925,15,0,-3.870000000000000,-80.09000000000000,22/08/2020
Loja,521154,Puyango,15925,21,6,-3.870000000000000,-80.09000000000000,23/08/2020
Loja,521154,Puyango,15925,21,0,-3.870000000000000,-80.09000000000000,24/08/2020
Loja,521154,Puyango,15925,21,0,-3.870000000000000,-80.09000000000000,25/08/2020
Loja,521154,Puyango,15925,23,2,-3.870000000000000,-80.09000000000000,26/08/2020
Loja,521154,Puyango,15925,23,0,-3.870000000000000,-80.09000000000000,27/08/2020
Loja,521154,Puyango,15925,24,1,-3.870000000000000,-80.09000000000000,28/08/2020
Loja,521154,Puyango,15925,24,0,-3.870000000000000,-80.09000000000000,29/08/2020
Loja,521154,Puyango,15925,24,0,-3.870000000000000,-80.09000000000000,30/08/2020
Loja,521154,Puyango,15925,26,2,-3.870000000000000,-80.09000000000000,31/08/2020
Loja,521154,Puyango,15925,26,0,-3.870000000000000,-80.09000000000000,01/09/2020
Loja,521154,Puyango,15925,27,1,-3.870000000000000,-80.09000000000000,02/09/2020
Loja,521154,Puyango,15925,27,0,-3.870000000000000,-80.09000000000000,03/09/2020
Loja,521154,Puyango,15925,27,0,-3.870000000000000,-80.09000000000000,04/09/2020
Loja,521154,Puyango,15925,27,0,-3.870000000000000,-80.09000000000000,05/09/2020
Loja,521154,Puyango,15925,27,0,-3.870000000000000,-80.09000000000000,06/09/2020
Loja,521154,Puyango,15925,30,3,-3.870000000000000,-80.09000000000000,07/09/2020
Loja,521154,Puyango,15925,30,0,-3.870000000000000,-80.09000000000000,08/09/2020
Loja,521154,Puyango,15925,31,1,-3.870000000000000,-80.09000000000000,09/09/2020
Loja,521154,Puyango,15925,31,0,-3.870000000000000,-80.09000000000000,10/09/2020
Loja,521154,Puyango,15925,31,0,-3.870000000000000,-80.09000000000000,11/09/2020
Loja,521154,Puyango,15925,31,0,-3.870000000000000,-80.09000000000000,12/09/2020
Loja,521154,Puyango,15925,31,0,-3.870000000000000,-80.09000000000000,13/09/2020
Loja,521154,Puyango,15925,31,0,-3.870000000000000,-80.09000000000000,14/09/2020
Loja,521154,Puyango,15925,31,0,-3.870000000000000,-80.09000000000000,15/09/2020
Loja,521154,Puyango,15925,32,1,-3.870000000000000,-80.09000000000000,16/09/2020
Loja,521154,Puyango,15925,32,0,-3.870000000000000,-80.09000000000000,17/09/2020
Loja,521154,Puyango,15925,33,1,-3.870000000000000,-80.09000000000000,18/09/2020
Loja,521154,Puyango,15925,33,0,-3.870000000000000,-80.09000000000000,19/09/2020
Loja,521154,Puyango,15925,33,0,-3.870000000000000,-80.09000000000000,20/09/2020
Loja,521154,Puyango,15925,33,0,-3.870000000000000,-80.09000000000000,21/09/2020
Loja,521154,Puyango,15925,33,0,-3.870000000000000,-80.09000000000000,22/09/2020
Loja,521154,Puyango,15925,33,0,-3.870000000000000,-80.09000000000000,23/09/2020
Loja,521154,Puyango,15925,33,0,-3.870000000000000,-80.09000000000000,24/09/2020
Loja,521154,Puyango,15925,33,0,-3.870000000000000,-80.09000000000000,25/09/2020
Loja,521154,Puyango,15925,33,0,-3.870000000000000,-80.09000000000000,26/09/2020
Loja,521154,Puyango,15925,33,0,-3.870000000000000,-80.09000000000000,27/09/2020
Loja,521154,Puyango,15925,33,0,-3.870000000000000,-80.09000000000000,28/09/2020
Loja,521154,Puyango,15925,33,0,-3.870000000000000,-80.09000000000000,29/09/2020
Loja,521154,Puyango,15925,33,0,-3.870000000000000,-80.09000000000000,30/09/2020
Loja,521154,Puyango,15925,35,2,-3.870000000000000,-80.09000000000000,01/10/2020
Loja,521154,Puyango,15925,35,0,-3.870000000000000,-80.09000000000000,02/10/2020
Loja,521154,Puyango,15925,38,3,-3.870000000000000,-80.09000000000000,03/10/2020
Loja,521154,Puyango,15925,38,0,-3.870000000000000,-80.09000000000000,04/10/2020
Loja,521154,Puyango,15925,38,0,-3.870000000000000,-80.09000000000000,05/10/2020
Loja,521154,Puyango,15925,38,0,-3.870000000000000,-80.09000000000000,06/10/2020
Loja,521154,Puyango,15925,38,0,-3.870000000000000,-80.09000000000000,07/10/2020
Loja,521154,Puyango,15925,38,0,-3.870000000000000,-80.09000000000000,08/10/2020
Loja,521154,Puyango,15925,38,0,-3.870000000000000,-80.09000000000000,09/10/2020
Loja,521154,Puyango,15925,38,0,-3.870000000000000,-80.09000000000000,10/10/2020
Loja,521154,Puyango,15925,38,0,-3.870000000000000,-80.09000000000000,11/10/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,13/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,14/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,15/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,16/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,17/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,18/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,19/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,20/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,21/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,22/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,23/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,24/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,25/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,26/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,27/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,28/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,29/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,30/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,31/03/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,01/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,02/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,03/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,04/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,05/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,06/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,07/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,08/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,09/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,10/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,11/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,12/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,13/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,14/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,15/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,16/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,17/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,18/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,19/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,20/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,21/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,22/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,23/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,24/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,25/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,26/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,27/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,28/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,29/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,30/04/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,01/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,02/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,03/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,04/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,05/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,06/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,07/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,08/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,09/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,10/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,11/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,12/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,13/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,14/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,15/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,16/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,17/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,18/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,19/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,20/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,21/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,22/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,23/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,24/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,25/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,26/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,27/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,28/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,29/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,30/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,31/05/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,01/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,02/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,03/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,04/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,05/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,06/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,07/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,08/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,09/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,10/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,11/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,12/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,13/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,14/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,15/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,16/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,17/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,18/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,19/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,20/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,21/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,22/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,23/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,24/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,25/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,26/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,27/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,28/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,29/06/2020
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,30/06/2020
